iter	Logloss
0	0.6930113237
1	0.6928579636
2	0.6926034386
3	0.6924605081
4	0.6921929032
5	0.6919905547
6	0.6917861271
7	0.691597407
8	0.6913690412
9	0.6912692339
10	0.6911641248
11	0.6909493249
12	0.6908646065
13	0.6906549218
14	0.6904424075
15	0.6902293668
16	0.6900199566
17	0.6897710727
18	0.6895900303
19	0.6894446311
20	0.6891683176
21	0.6889726251
22	0.6886508485
23	0.688367641
24	0.6880821032
25	0.6878660375
26	0.6876209067
27	0.6872852421
28	0.6871041798
29	0.6869348674
30	0.6866735267
31	0.6865253559
32	0.6863253683
33	0.6860912263
34	0.6859296099
35	0.6856619254
36	0.6853906978
37	0.6851631314
38	0.6849004148
39	0.6846162911
40	0.6844697679
41	0.6843361519
42	0.6840474201
43	0.6837763653
44	0.6836441909
45	0.6833684334
46	0.6832115915
47	0.6830609
48	0.6828131063
49	0.6824873076
50	0.6823189116
51	0.6821622998
52	0.6819678234
53	0.6818675114
54	0.6816058815
55	0.6813747546
56	0.6812156759
57	0.6810172867
58	0.6807861647
59	0.6806738226
60	0.680437646
61	0.6801878472
62	0.6799791603
63	0.6797792448
64	0.6795691016
65	0.6794309086
66	0.6793236626
67	0.6791516977
68	0.6790430883
69	0.6787852442
70	0.6785591035
71	0.678396361
72	0.6782653066
73	0.6781029137
74	0.6778828688
75	0.6776631048
76	0.6774716901
77	0.6773140665
78	0.6769989334
79	0.6768418423
80	0.676583245
81	0.6763739577
82	0.6761616
83	0.6758724564
84	0.675695643
85	0.6755427692
86	0.6752884659
87	0.6750032818
88	0.6748126458
89	0.6745720096
90	0.6743746913
91	0.6741396365
92	0.6738872429
93	0.6736117037
94	0.6734837684
95	0.6733085191
96	0.6731483466
97	0.6729875583
98	0.6727718286
99	0.6725534467
100	0.6724432507
101	0.6722809483
102	0.6721402696
103	0.6718966028
104	0.6716517608
105	0.6714795278
106	0.6713068222
107	0.6710742683
108	0.670895573
109	0.6705992809
110	0.6703949985
111	0.6701572019
112	0.6698508465
113	0.6696802561
114	0.6695023948
115	0.6692867419
116	0.6690650395
117	0.6688791865
118	0.6687180329
119	0.6684878145
120	0.668240688
121	0.6680811316
122	0.6679257414
123	0.6677662274
124	0.6675376061
125	0.6673626326
126	0.667168474
127	0.6670108729
