iter	Passed	Remaining
0	7	984
1	13	869
2	19	829
3	25	801
4	31	781
5	37	766
6	43	754
7	49	745
8	55	734
9	61	726
10	67	717
11	73	711
12	79	703
13	85	696
14	91	689
15	97	685
16	104	679
17	110	672
18	116	667
19	122	660
20	128	654
21	134	649
22	141	644
23	147	637
24	153	632
25	159	626
26	165	620
27	171	613
28	177	607
29	183	600
30	189	594
31	196	588
32	202	583
33	208	577
34	215	571
35	221	565
36	227	558
37	233	552
38	239	546
39	245	539
40	251	533
41	258	529
42	264	522
43	270	516
44	276	509
45	282	503
46	288	497
47	294	491
48	300	485
49	306	478
50	312	472
51	318	466
52	325	459
53	331	453
54	337	447
55	343	441
56	349	435
57	355	429
58	361	423
59	368	417
60	374	411
61	380	404
62	386	398
63	392	392
64	399	386
65	405	380
66	412	375
67	418	369
68	425	364
69	433	359
70	441	354
71	447	348
72	454	342
73	460	335
74	466	329
75	472	323
76	479	317
77	486	311
78	492	305
79	498	299
80	504	292
81	511	287
82	517	280
83	524	274
84	530	268
85	537	262
86	544	256
87	550	250
88	556	243
89	563	237
90	569	231
91	576	225
92	583	219
93	590	213
94	596	207
95	604	201
96	611	195
97	617	189
98	625	183
99	631	176
100	637	170
101	643	164
102	649	157
103	655	151
104	663	145
105	669	138
106	674	132
107	681	126
108	687	119
109	693	113
110	699	107
111	705	100
112	711	94
113	717	88
114	723	81
115	729	75
116	735	69
117	741	62
118	747	56
119	753	50
120	759	43
121	765	37
122	771	31
123	777	25
124	783	18
125	789	12
126	795	6
127	801	0
