feature,importance
m_wifi_m_wifi_row_rssi_sum_max_f5489163,38.0
m_ble_m_ble_row_rssi_min_mean_roll7_mean_399e9cd6,37.0
w_hr_hr_mean_max_7bf838d9,35.0
m_wifi_m_wifi_row_rssi_min_std_roll3_mean_9d0c1042,33.0
m_screen_m_screen_use_by_time_sum_night_roll7_mean_03aa980b,32.0
m_activity_m_activity_by_time_mean_morning_lag1_fa894b0e,31.0
m_light_m_light_by_time_mean_evening_roll7_mean_ec7749f3,30.0
m_screen_m_screen_use_count_roll7_mean_e4d2b571,29.0
w_hr_hr_sum_max_96f1f5cc,29.0
m_ambience_ambience_prob_sum_mean_lag1_0edfb442,28.0
w_hr_hr_sum_mean_30cd3a65,27.0
w_hr_hr_mean_min_0ca7a416,27.0
m_ac_m_charging_by_time_mean_morning_55eacdfc,27.0
m_usage_app_time_withings_cc246644_fc9e87d0,26.0
m_wifi_m_wifi_row_rssi_min_std_roll7_mean_02a9d82e,26.0
m_ble_m_ble_row_n_max_roll7_mean_5092ec20,25.0
m_usage_app_time_x_31d5a54c_31d5a54c_ce11c9cd,25.0
m_ble_m_ble_row_rssi_min_max_roll7_mean_efd915fa,25.0
w_hr_daily_mean_roll3_mean_1f514bd8,25.0
m_wifi_m_wifi_row_rssi_mean_std_roll7_mean_dd07b17d,25.0
m_ambience_ambience_top_prob_min_lag1_75956ca1,24.0
m_usage_app_time_x_918b33a3_918b33a3_roll7_mean_7e0208a2,24.0
m_usage_app_time_x_918b33a3_918b33a3_roll3_mean_fd6c6ee0,23.0
w_light_w_light_count_roll3_mean_dcf47f6f,23.0
m_usage_usage_max_time_max_5b548a0c,22.0
w_light_w_light_sum_roll3_mean_e3f6c03c,22.0
m_ble_m_ble_row_rssi_max_std_865a305b,21.0
m_gps_m_gps_row_altitude_std_max_eebd2c4c,21.0
m_screen_m_screen_use_by_time_mean_night_roll7_mean_7712c992,21.0
m_light_m_light_by_time_sum_evening_roll7_mean_b8fe6e78,21.0
m_activity_m_activity_by_time_sum_afternoon_lag1_3063dd21,21.0
w_light_w_light_by_time_sum_evening_280f5000,21.0
m_usage_app_time_naver_b6c7d707_0985fe5c,21.0
m_activity_m_activity_changes_roll7_mean_ee24dbe5,21.0
w_pedo_distance_max_7b71c058,20.0
m_usage_app_time_x_ede0afe7_ede0afe7_roll3_mean_93f78907,20.0
m_ble_m_ble_row_rssi_std_std_roll7_mean_0e08f166,20.0
w_light_w_light_by_time_mean_night_roll7_mean_8800522a,19.0
m_screen_m_screen_use_by_time_mean_night_4fa69cb6,19.0
m_gps_m_gps_row_altitude_mean_max_roll7_mean_05ce5716,19.0
m_light_m_light_by_time_mean_night_5dd6f094,19.0
m_ac_m_charging_by_time_sum_afternoon_293fb1c9,19.0
m_gps_m_gps_row_altitude_sum_mean_roll7_mean_218ce057,19.0
w_hr_hr_std_mean_4b1da1a4,18.0
m_wifi_m_wifi_row_rssi_mean_max_d07a4313,18.0
m_gps_m_gps_row_speed_mean_std_roll7_mean_f332e162,18.0
m_usage_app_time_x_f0f024d9_f0f024d9_roll3_mean_4f24d5b7,18.0
m_screen_m_screen_use_by_time_mean_night_roll3_mean_0ec5de94,18.0
m_gps_m_gps_row_n_sum_78e7fc63,18.0
m_activity_m_activity_by_time_sum_morning_lag1_c2c05e33,17.0
m_ble_m_ble_row_rssi_min_mean_lag1_88d1187b,17.0
m_activity_m_activity_by_time_sum_evening_roll3_mean_c281e7e8,17.0
m_ambience_ambience_entropy_min_roll7_mean_b0ce0c0d,17.0
w_hr_hr_std_max_roll3_mean_c902580c,17.0
m_activity_m_activity_by_time_sum_night_roll7_mean_b50f86c1,17.0
