feature,importance
w_hr_hr_mean_max_7bf838d9,163.0
w_hr_hr_mean_min_0ca7a416,134.0
m_wifi_m_wifi_row_rssi_sum_max_f5489163,132.0
w_hr_hr_sum_max_96f1f5cc,124.0
m_wifi_m_wifi_row_rssi_min_std_roll3_mean_9d0c1042,122.0
m_activity_m_activity_by_time_mean_morning_lag1_fa894b0e,122.0
m_ble_m_ble_row_rssi_min_mean_roll7_mean_399e9cd6,116.0
m_screen_m_screen_use_by_time_sum_night_roll7_mean_03aa980b,114.0
m_ac_m_charging_by_time_mean_morning_55eacdfc,112.0
w_light_w_light_count_roll3_mean_dcf47f6f,109.0
m_ambience_ambience_prob_sum_mean_lag1_0edfb442,108.0
m_wifi_m_wifi_row_rssi_min_std_roll7_mean_02a9d82e,107.0
w_light_w_light_by_time_sum_evening_280f5000,104.0
m_screen_m_screen_use_by_time_mean_night_4fa69cb6,104.0
m_usage_app_time_x_918b33a3_918b33a3_roll3_mean_fd6c6ee0,103.0
w_pedo_distance_max_7b71c058,103.0
m_usage_app_time_x_31d5a54c_31d5a54c_ce11c9cd,100.0
m_light_m_light_by_time_mean_evening_roll7_mean_ec7749f3,97.0
m_activity_m_activity_by_time_sum_afternoon_lag1_3063dd21,96.0
m_screen_m_screen_use_by_time_mean_night_roll7_mean_7712c992,96.0
m_light_m_light_by_time_mean_night_5dd6f094,96.0
m_gps_m_gps_row_n_sum_78e7fc63,94.0
m_ambience_ambience_top_prob_min_lag1_75956ca1,91.0
w_hr_hr_sum_mean_30cd3a65,89.0
m_usage_app_time_withings_cc246644_fc9e87d0,88.0
m_usage_app_time_naver_b6c7d707_0985fe5c,87.0
m_usage_app_time_x_918b33a3_918b33a3_roll7_mean_7e0208a2,87.0
m_activity_m_activity_by_time_sum_morning_roll7_mean_79472e64,83.0
w_hr_hr_std_max_2c273c29,83.0
m_screen_m_screen_use_count_roll7_mean_e4d2b571,83.0
m_wifi_m_wifi_row_rssi_mean_std_roll7_mean_dd07b17d,82.0
m_usage_app_time_x_918b33a3_918b33a3_1af5b4ba,82.0
m_ble_m_ble_row_n_max_roll7_mean_5092ec20,81.0
m_gps_m_gps_row_altitude_std_max_eebd2c4c,80.0
m_ble_m_ble_row_rssi_min_max_roll7_mean_efd915fa,76.0
m_wifi_m_wifi_row_rssi_mean_max_d07a4313,75.0
w_hr_daily_mean_roll3_mean_1f514bd8,74.0
m_usage_app_time_x_f0f024d9_f0f024d9_roll3_mean_4f24d5b7,74.0
m_screen_m_screen_use_by_time_mean_night_roll3_mean_0ec5de94,74.0
m_ac_m_charging_by_time_mean_afternoon_roll7_mean_3d26cb21,74.0
w_light_w_light_by_time_mean_night_roll7_mean_8800522a,73.0
m_ambience_ambience_prob_sum_mean_roll3_mean_a3e95bb0,71.0
m_ac_m_charging_by_time_sum_afternoon_293fb1c9,71.0
m_usage_usage_max_time_max_5b548a0c,70.0
m_usage_app_time_x_f0f024d9_f0f024d9_1985b6ec,70.0
m_usage_app_time_x_ede0afe7_ede0afe7_roll3_mean_93f78907,70.0
m_activity_m_activity_by_time_sum_morning_3c474ccf,69.0
m_activity_m_activity_changes_roll7_mean_ee24dbe5,69.0
w_hr_hr_std_mean_4b1da1a4,69.0
m_light_m_light_by_time_sum_evening_roll7_mean_b8fe6e78,68.0
w_light_w_light_by_time_mean_afternoon_roll3_mean_450f569b,67.0
m_ble_m_ble_row_rssi_mean_max_lag1_2ec5b9d6,67.0
m_ble_m_ble_row_rssi_std_std_roll7_mean_0e08f166,67.0
w_light_w_light_sum_roll3_mean_e3f6c03c,66.0
m_ble_m_ble_row_rssi_mean_min_lag1_1a0be562,66.0
m_usage_app_time_x_dbc38cac_dbc38cac_81dd936e,65.0
w_hr_hr_max_mean_e37103a2,65.0
w_light_w_light_by_time_sum_afternoon_roll3_mean_5a8804cb,65.0
m_activity_m_activity_by_time_sum_afternoon_9cb88504,64.0
m_usage_app_time_x_6ab9a8a0_6ab9a8a0_3f868afc,64.0
m_ac_m_charging_by_time_mean_afternoon_4590f1d1,64.0
m_ble_m_ble_row_rssi_std_std_b5f0e7f7,63.0
m_usage_app_time_x_960ebc65_960ebc65_366ac55d,63.0
m_activity_m_activity_by_time_mean_afternoon_6d7c2b57,62.0
m_usage_app_time_x_f704fdcd_f704fdcd_roll7_mean_97a0dc7c,62.0
m_ble_m_ble_row_rssi_max_std_865a305b,61.0
m_ble_m_ble_row_rssi_min_mean_roll3_mean_2e58b60d,61.0
m_ble_m_ble_row_rssi_sum_max_roll7_mean_f883b611,61.0
m_ble_m_ble_row_rssi_std_mean_3fa0c961,60.0
m_ble_m_ble_row_n_sum_lag1_d854ac91,60.0
w_light_w_light_by_time_sum_morning_roll3_mean_7b1234ce,59.0
w_light_w_light_by_time_mean_evening_c2e86829,59.0
m_activity_m_activity_by_time_sum_evening_roll3_mean_c281e7e8,59.0
m_usage_app_time_x_dbc38cac_dbc38cac_roll3_mean_b85d8bd0,59.0
w_hr_hr_std_max_roll3_mean_c902580c,59.0
m_gps_m_gps_row_altitude_mean_max_roll7_mean_05ce5716,58.0
m_activity_m_activity_by_time_sum_morning_lag1_c2c05e33,58.0
m_activity_m_activity_sum_lag1_db0512df,58.0
w_light_w_light_by_time_mean_morning_roll7_mean_644ee88a,57.0
m_wifi_m_wifi_row_rssi_std_max_roll3_mean_78a0b700,57.0
m_usage_usage_total_time_max_14c7d0b7,57.0
m_usage_usage_total_time_mean_dd0d2a3b,57.0
m_activity_m_activity_by_time_mean_morning_95a9878c,57.0
w_light_w_light_mean_44a3c72b,56.0
m_wifi_m_wifi_row_rssi_min_std_58ee3d41,55.0
m_gps_m_gps_row_n_sum_roll3_mean_0001b6c0,55.0
w_light_w_light_by_time_sum_morning_b83e3684,55.0
m_screen_m_screen_use_by_time_sum_morning_557974e8,55.0
subject_row_order_07d056a5,54.0
m_ac_m_charging_mean_77f1a38b,54.0
w_hr_hr_mean_std_e3649aa5,53.0
w_light_w_light_count_5db5e1ef,53.0
m_usage_app_time_x_73816cb8_73816cb8_roll7_mean_34230dd3,53.0
m_gps_m_gps_row_speed_mean_std_roll7_mean_f332e162,53.0
w_light_w_light_by_time_mean_morning_roll3_mean_c65c2504,53.0
m_ble_m_ble_row_rssi_max_mean_roll7_mean_3524dd8b,52.0
m_gps_m_gps_row_n_mean_cb5ddff2,52.0
m_usage_usage_max_time_max_roll7_mean_96fc7c11,52.0
